race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
2026 한경서울마라톤,2026-10-05,하프 10km 5km,서울,여의도공원 문화의마당,한경닷컴/런코리아,접수마감,https://gorunning.kr/races/1222/2026-hankyung-seoul-marathon/,gorunning.kr,Tier2
런센스 2026,2026-10-05,10km 5km,서울,서울 상암동 월드컵공원 평화광장,(주)일요신문사 (주)비즈한국,접수마감,https://gorunning.kr/races/1201/run-sense-2026/,gorunning.kr,Tier2
2026서울오픈마라톤,2026-10-05,하프 10km,서울,광화문광장,(사)한국체육개발원 등,접수마감,https://gorunning.kr/races/1089/2026-seoul-open-marathon/,gorunning.kr,Tier2
제12회 시흥시 전국하프마라톤,2026-10-05,하프 10km 5km,경기,한국공학대학교 제2캠퍼스,"경기일보, 시흥시체육회",접수중,https://gorunning.kr/races/1214/12th-siheung-national-half-marathon/,gorunning.kr,Tier2
제23회 강남국제평화마라톤,2026-10-05,풀 하프 10km 5km,서울,봉은사로 삼성1동 주민센터,강남구,접수마감,https://gorunning.kr/races/1292/23rd-gangnam-international-peace-marathon/,gorunning.kr,Tier2
2026 양주 천일홍 가을 페스타 마라톤,2026-10-05,20km코스 10km 5km,경기,양주시 나리공원,양주시체육회,접수중,https://gorunning.kr/races/1311/2026-yangju-cheonilhong-autumn-festa-marathon/,gorunning.kr,Tier2
제26회 홍성마라톤,2026-10-09,하프 10km 10km단체전 5km,충남,홍주 종합경기장,홍성군체육회,접수마감,https://gorunning.kr/races/928/27th-hongseong-marathon/,gorunning.kr,Tier2
WYD와 함께하는 생명사랑 마라톤/걷기 대회,2026-10-09,10km 5km 5km 걷기,경기,안성 미리내 성지,마라톤선교연합회/천주교수원교구,접수마감,https://gorunning.kr/races/1179/life-love-marathon-with-wyd/,gorunning.kr,Tier2
2026 한글런,2026-10-09,10.9km,충남,세종시 중앙공원 도시축제마당,"세종시, 헤럴드미디어그룹",접수중,https://gorunning.kr/races/1128/2026-hangeul-run/,gorunning.kr,Tier2
2026 수원교구 생명사랑 마라톤,2026-10-09,10km 5km,경기,미리내성지,천주교 수원교구,접수마감,https://gorunning.kr/races/1161/2026-suwon-diocese-life-marathon/,gorunning.kr,Tier2
빵빵런 2026 in 대전,2026-10-09,10km 5km,대전,대전 엑스포 시민광장,1986 프로덕션,접수마감,https://gorunning.kr/races/1193/ppangppang-run-2026-daejeon/,gorunning.kr,Tier2
2026 고흥우주항공배 마라톤,2026-10-09,하프 10km 5km,전남,고흥군 박지성공설운동장,고흥군체육회,접수중,https://gorunning.kr/races/1320/2026-goheung-aerospace-marathon/,gorunning.kr,Tier2
제5회 무등산지오마라톤,2026-10-10,30km 하프 10km 5.18km 2km걷기,전남,화순 금호스파리조트,"광주광역시,전라남도,담양군,화순군,광주MBC,전남대학교",접수마감,https://gorunning.kr/races/1052/5th-mudeungsan-geo-marathon/,gorunning.kr,Tier2
제4회 강서허준런(RUN),2026-10-10,10km 5km 3km 패밀리런,서울,서울식물원 초지원,강서구,접수마감,https://gorunning.kr/races/1129/4th-gangseo-heojun-run/,gorunning.kr,Tier2
카카오프렌즈런 2026,2026-10-10,10km 5km,경기,탄천 종합운동장,카카오,접수마감,https://gorunning.kr/races/1319/2026-kakao-friends-run/,gorunning.kr,Tier2
제9회 거제시장배 섬꽃 전국 마라톤,2026-10-10,하프 10km 4km,경남,거제스포츠파크,"거제시, 거제시체육회",접수마감,https://gorunning.kr/races/1102/9th-geoje-island-flower-marathon/,gorunning.kr,Tier2
2026 경포마라톤,2026-10-10,하프 10km 5km,강원,강원특별자치도 강릉시,(주)강원도민일보,접수마감,https://gorunning.kr/races/890/2026-gyeongpo-marathon/,gorunning.kr,Tier2
제5회 구미시장배 금오산트레일 레이스,2026-10-10,23k 18k 10km,경북,금오산 공영 대주차장,"구미시산악연맹, 구미트레일런",접수마감,https://gorunning.kr/races/1133/5th-gumi-mayor-cup-geumosan-trail/,gorunning.kr,Tier2
제3회 성동구연맹회장기 마라톤,2026-10-10,10km 5km,서울,살곶이대운동장,성동구체육회 / 성동구육상연맹,접수중,https://gorunning.kr/races/1188/3rd-seongdong-chairmans-cup-marathon/,gorunning.kr,Tier2
충주 앙성 비내길 마라톤 대회,2026-10-10,10km 5km,충북,충주앙성온천광장,앙성면체육회,접수중,https://gorunning.kr/races/1225/2026-chungju-angseong-binaegil-marathon/,gorunning.kr,Tier2
제주풍차런,2026-10-10,10km 5km,제주,한림수협다목적어업인종합지원센터,"주식회사 어디감수광, 수원리 새마을회",접수중,https://gorunning.kr/races/1238/2026-jeju-windmill-run/,gorunning.kr,Tier2
제3회서울트레일런 대회,2026-10-10,,서울,시청 덕수궁돌담길,서울울트라랠리,접수마감,https://gorunning.kr/races/1285/3rd-seoul-trail-run/,gorunning.kr,Tier2
2026 하트런,2026-10-10,10km 5km,서울,올림픽공원 피크닉장,하트-하트재단,접수중,https://gorunning.kr/races/1327/2026-heart-run/,gorunning.kr,Tier2
제7회 천안삼거리 흥타령울트라마라톤,2026-10-10,100km 60km,충남,천안삼거리공원,천안삼거리흥타령울트라조직위,접수중,https://gorunning.kr/races/830/7th-cheonan-samgeori-heungtaryeong-ultra-marathon/,gorunning.kr,Tier2
2026 서울레이스,2026-10-11,하프 10km,서울,서울광장,동아일보,접수마감,https://gorunning.kr/races/1084/2026-seoul-race/,gorunning.kr,Tier2
